Time Stamp,Event Name,Event Type,Conducted By,Rating,Feedback Comment
07-02-2025 11:05,Cultural Fest,Academic,Management,4,"Great event, learned a lot!"
03-02-2025 11:05,Sports Meet,Academic,Management,1,The event was too long.
19-01-2025 11:05,Seminar,Workshop,Management,1,The event was too long.
06-11-2024 11:05,Cultural Fest,Cultural,Electronics,2,Content was not very relevant.
02-01-2025 11:05,Cultural Fest,Technical,Computer Science,1,I did not enjoy the event.
11-11-2024 11:05,Workshop,Sports,Electronics,4,Great networking opportunity.
24-09-2024 11:05,Hackathon,Workshop,Civil,4,Great networking opportunity.
24-08-2025 11:05,Seminar,Cultural,Mechanical,5,"Great event, learned a lot!"
04-03-2025 11:05,Sports Meet,Workshop,Electronics,4,Loved the hands-on activities!
24-07-2025 11:05,Cultural Fest,Workshop,Computer Science,2,Content was not very relevant.
17-07-2025 11:05,Guest Lecture,Cultural,Humanities,5,Very informative and engaging.
16-05-2025 11:05,Tech Talk,Workshop,Electronics,5,"Great event, learned a lot!"
30-12-2024 11:05,Workshop,Workshop,Management,4,Would love to attend again.
23-09-2024 11:05,Hackathon,Sports,Mechanical,4,Very informative and engaging.
23-07-2025 11:05,Hackathon,Academic,Computer Science,2,Speakers were boring.
28-11-2024 11:05,Hackathon,Workshop,Humanities,5,"Great event, learned a lot!"
24-11-2024 11:05,Guest Lecture,Workshop,Mechanical,2,Speakers were boring.
14-02-2025 11:05,Cultural Fest,Academic,Mechanical,2,I did not enjoy the event.
29-03-2025 11:05,Guest Lecture,Cultural,Computer Science,5,Speakers were very knowledgeable.
22-02-2025 11:05,Cultural Fest,Academic,Civil,2,I did not enjoy the event.
26-05-2025 11:05,Tech Talk,Academic,Mechanical,4,Very informative and engaging.
07-02-2025 11:05,Workshop,Technical,Humanities,3,"Nothing special, but okay."
19-03-2025 11:05,Workshop,Cultural,Mechanical,1,The event was too long.
14-04-2025 11:05,Workshop,Academic,Management,1,Could be better organized.
02-11-2024 11:05,Hackathon,Sports,Mechanical,2,I did not enjoy the event.
12-07-2025 11:05,Guest Lecture,Technical,Humanities,2,Poorly managed event.
05-12-2024 11:05,Hackathon,Cultural,Management,2,I did not enjoy the event.
14-08-2025 11:05,Tech Talk,Cultural,Humanities,1,I did not enjoy the event.
04-07-2025 11:05,Guest Lecture,Sports,Electronics,4,Loved the hands-on activities!
25-05-2025 11:05,Seminar,Technical,Electronics,2,I did not enjoy the event.
24-12-2024 11:05,Cultural Fest,Sports,Humanities,1,Speakers were boring.
30-11-2024 11:05,Workshop,Technical,Civil,4,Speakers were very knowledgeable.
18-08-2025 11:05,Hackathon,Academic,Management,2,Content was not very relevant.
13-08-2025 11:05,Sports Meet,Workshop,Civil,1,Content was not very relevant.
06-10-2024 11:05,Workshop,Sports,Civil,5,Loved the hands-on activities!
23-02-2025 11:05,Cultural Fest,Sports,Electronics,1,Speakers were boring.
26-04-2025 11:05,Cultural Fest,Sports,Electronics,1,Poorly managed event.
08-03-2025 11:05,Tech Talk,Workshop,Management,5,Loved the hands-on activities!
13-08-2025 11:05,Tech Talk,Technical,Civil,4,Very informative and engaging.
05-09-2025 11:05,Cultural Fest,Technical,Computer Science,2,Could be better organized.
03-04-2025 11:05,Seminar,Workshop,Computer Science,3,"Nothing special, but okay."
01-04-2025 11:05,Seminar,Technical,Management,4,Very informative and engaging.
07-10-2024 11:05,Hackathon,Academic,Management,1,Content was not very relevant.
04-04-2025 11:05,Seminar,Academic,Mechanical,1,Speakers were boring.
07-09-2025 11:05,Sports Meet,Academic,Management,5,Would love to attend again.
11-02-2025 11:05,Seminar,Cultural,Mechanical,1,The event was too long.
27-01-2025 11:05,Cultural Fest,Technical,Electronics,5,Loved the hands-on activities!
09-01-2025 11:05,Guest Lecture,Workshop,Electronics,5,Loved the hands-on activities!
03-12-2024 11:05,Sports Meet,Workshop,Management,1,Poorly managed event.
27-12-2024 11:05,Sports Meet,Cultural,Mechanical,4,Great networking opportunity.
12-08-2025 11:05,Cultural Fest,Workshop,Computer Science,5,Great networking opportunity.
20-09-2024 11:05,Seminar,Academic,Mechanical,5,Speakers were very knowledgeable.
07-05-2025 11:05,Cultural Fest,Sports,Electronics,1,I did not enjoy the event.
13-12-2024 11:05,Tech Talk,Cultural,Mechanical,5,"Great event, learned a lot!"
06-11-2024 11:05,Cultural Fest,Academic,Humanities,4,Very informative and engaging.
12-09-2024 11:05,Sports Meet,Sports,Humanities,2,Poorly managed event.
24-02-2025 11:05,Seminar,Academic,Humanities,5,Great networking opportunity.
20-04-2025 11:05,Workshop,Cultural,Electronics,3,Overall it was decent.
20-08-2025 11:05,Hackathon,Technical,Management,5,Loved the hands-on activities!
24-12-2024 11:05,Cultural Fest,Technical,Humanities,4,Would love to attend again.
17-03-2025 11:05,Guest Lecture,Academic,Electronics,3,Could have been a little better.
15-03-2025 11:05,Hackathon,Technical,Mechanical,2,Poorly managed event.
05-12-2024 11:05,Tech Talk,Sports,Civil,1,Poorly managed event.
14-04-2025 11:05,Hackathon,Technical,Mechanical,4,Very informative and engaging.
09-05-2025 11:05,Guest Lecture,Sports,Humanities,3,Could have been a little better.
17-09-2024 11:05,Sports Meet,Cultural,Civil,3,Could have been a little better.
29-09-2024 11:05,Sports Meet,Workshop,Mechanical,3,Overall it was decent.
29-05-2025 11:05,Hackathon,Workshop,Humanities,3,"Nothing special, but okay."
10-02-2025 11:05,Tech Talk,Technical,Computer Science,1,The event was too long.
20-08-2025 11:05,Guest Lecture,Cultural,Computer Science,3,Could have been a little better.
12-07-2025 11:05,Cultural Fest,Academic,Electronics,3,Could have been a little better.
29-01-2025 11:05,Guest Lecture,Technical,Mechanical,3,Could have been a little better.
21-05-2025 11:05,Sports Meet,Academic,Mechanical,5,Great networking opportunity.
17-11-2024 11:05,Guest Lecture,Cultural,Humanities,3,"Nothing special, but okay."
29-05-2025 11:05,Workshop,Cultural,Management,2,The event was too long.
05-04-2025 11:05,Guest Lecture,Technical,Computer Science,4,Loved the hands-on activities!
12-09-2024 11:05,Workshop,Workshop,Civil,5,Would love to attend again.
13-06-2025 11:05,Workshop,Workshop,Mechanical,3,Overall it was decent.
11-07-2025 11:05,Sports Meet,Cultural,Electronics,2,Content was not very relevant.
29-09-2024 11:05,Cultural Fest,Sports,Electronics,1,Could be better organized.
30-11-2024 11:05,Tech Talk,Sports,Computer Science,3,Overall it was decent.
08-11-2024 11:05,Guest Lecture,Cultural,Humanities,5,Would love to attend again.
15-01-2025 11:05,Hackathon,Technical,Management,3,Overall it was decent.
25-05-2025 11:05,Hackathon,Workshop,Civil,5,Would love to attend again.
25-08-2025 11:05,Tech Talk,Cultural,Management,2,Poorly managed event.
19-01-2025 11:05,Seminar,Sports,Humanities,5,Great networking opportunity.
11-09-2024 11:05,Guest Lecture,Sports,Civil,4,Would love to attend again.
30-06-2025 11:05,Sports Meet,Cultural,Civil,5,"Great event, learned a lot!"
23-07-2025 11:05,Hackathon,Cultural,Mechanical,1,Speakers were boring.
01-11-2024 11:05,Sports Meet,Cultural,Civil,1,I did not enjoy the event.
06-04-2025 11:05,Guest Lecture,Technical,Electronics,5,Great networking opportunity.
16-10-2024 11:05,Guest Lecture,Sports,Electronics,1,Content was not very relevant.
13-11-2024 11:05,Seminar,Cultural,Electronics,3,"Nothing special, but okay."
07-04-2025 11:05,Tech Talk,Cultural,Mechanical,4,"Great event, learned a lot!"
13-03-2025 11:05,Workshop,Academic,Computer Science,3,It was an average experience.
20-04-2025 11:05,Seminar,Cultural,Civil,4,"Great event, learned a lot!"
13-07-2025 11:05,Workshop,Technical,Mechanical,3,Could have been a little better.
02-03-2025 11:05,Workshop,Sports,Computer Science,4,"Great event, learned a lot!"
26-03-2025 11:05,Hackathon,Cultural,Civil,3,"Content was fine, not too great."
28-07-2025 11:05,Sports Meet,Cultural,Mechanical,5,Loved the hands-on activities!
05-06-2025 11:05,Seminar,Sports,Civil,5,"Great event, learned a lot!"
15-08-2025 11:05,Cultural Fest,Technical,Humanities,2,Poorly managed event.
31-12-2024 11:05,Sports Meet,Cultural,Computer Science,3,Overall it was decent.
19-06-2025 11:05,Hackathon,Technical,Humanities,3,"Nothing special, but okay."
16-04-2025 11:05,Tech Talk,Technical,Electronics,1,The event was too long.
04-06-2025 11:05,Sports Meet,Academic,Computer Science,5,Speakers were very knowledgeable.
14-12-2024 11:05,Hackathon,Technical,Mechanical,1,Could be better organized.
15-01-2025 11:05,Workshop,Technical,Computer Science,5,Would love to attend again.
19-10-2024 11:05,Tech Talk,Sports,Civil,4,Great networking opportunity.
06-09-2025 11:05,Guest Lecture,Sports,Management,5,Loved the hands-on activities!
02-01-2025 11:05,Cultural Fest,Technical,Computer Science,3,It was an average experience.
23-08-2025 11:05,Workshop,Academic,Humanities,5,Loved the hands-on activities!
31-01-2025 11:05,Cultural Fest,Sports,Mechanical,5,Loved the hands-on activities!
21-11-2024 11:05,Guest Lecture,Technical,Civil,3,Could have been a little better.
19-10-2024 11:05,Cultural Fest,Sports,Mechanical,5,"Great event, learned a lot!"
20-03-2025 11:05,Seminar,Technical,Electronics,1,The event was too long.
04-06-2025 11:05,Tech Talk,Workshop,Mechanical,3,"Nothing special, but okay."
25-01-2025 11:05,Hackathon,Academic,Civil,2,Could be better organized.
29-10-2024 11:05,Workshop,Workshop,Management,1,Poorly managed event.
21-01-2025 11:05,Sports Meet,Academic,Humanities,2,The event was too long.
14-12-2024 11:05,Workshop,Technical,Management,5,Great networking opportunity.
12-03-2025 11:05,Sports Meet,Workshop,Civil,5,"Great event, learned a lot!"
12-07-2025 11:05,Hackathon,Sports,Mechanical,4,Would love to attend again.
16-05-2025 11:05,Hackathon,Technical,Humanities,2,I did not enjoy the event.
22-01-2025 11:05,Sports Meet,Academic,Computer Science,4,Great networking opportunity.
19-06-2025 11:05,Tech Talk,Cultural,Electronics,5,Great networking opportunity.
27-08-2025 11:05,Seminar,Cultural,Computer Science,2,Could be better organized.
09-10-2024 11:05,Cultural Fest,Sports,Humanities,3,It was an average experience.
09-02-2025 11:05,Workshop,Workshop,Humanities,1,Could be better organized.
27-03-2025 11:05,Sports Meet,Academic,Humanities,4,Loved the hands-on activities!
01-10-2024 11:05,Seminar,Sports,Humanities,3,Overall it was decent.
06-12-2024 11:05,Hackathon,Workshop,Humanities,3,"Nothing special, but okay."
12-09-2024 11:05,Workshop,Sports,Humanities,3,"Content was fine, not too great."
24-11-2024 11:05,Seminar,Academic,Management,2,I did not enjoy the event.
11-01-2025 11:05,Cultural Fest,Academic,Management,2,Could be better organized.
07-09-2025 11:05,Guest Lecture,Academic,Humanities,5,"Great event, learned a lot!"
11-03-2025 11:05,Hackathon,Sports,Humanities,4,"Great event, learned a lot!"
18-04-2025 11:05,Cultural Fest,Sports,Management,2,Speakers were boring.
14-03-2025 11:05,Workshop,Technical,Management,2,I did not enjoy the event.
21-02-2025 11:05,Seminar,Workshop,Management,2,Poorly managed event.
07-09-2025 11:05,Guest Lecture,Academic,Mechanical,5,Loved the hands-on activities!
06-08-2025 11:05,Hackathon,Technical,Civil,1,I did not enjoy the event.
21-01-2025 11:05,Cultural Fest,Academic,Management,5,Loved the hands-on activities!
08-01-2025 11:05,Hackathon,Cultural,Mechanical,5,Would love to attend again.
14-08-2025 11:05,Seminar,Technical,Humanities,3,It was an average experience.
31-10-2024 11:05,Hackathon,Sports,Management,4,Speakers were very knowledgeable.
06-12-2024 11:05,Tech Talk,Sports,Mechanical,4,Speakers were very knowledgeable.
01-01-2025 11:05,Guest Lecture,Workshop,Management,5,Loved the hands-on activities!
11-08-2025 11:05,Workshop,Workshop,Civil,2,I did not enjoy the event.
13-08-2025 11:05,Seminar,Academic,Computer Science,5,Speakers were very knowledgeable.
16-01-2025 11:05,Cultural Fest,Academic,Humanities,2,Could be better organized.
10-05-2025 11:05,Workshop,Sports,Management,5,Speakers were very knowledgeable.
10-08-2025 11:05,Sports Meet,Cultural,Civil,3,"Nothing special, but okay."
30-01-2025 11:05,Hackathon,Academic,Civil,3,"Content was fine, not too great."
30-06-2025 11:05,Cultural Fest,Cultural,Computer Science,1,Content was not very relevant.
19-06-2025 11:05,Tech Talk,Workshop,Computer Science,2,Could be better organized.
28-12-2024 11:05,Workshop,Technical,Management,3,Could have been a little better.
25-03-2025 11:05,Guest Lecture,Technical,Civil,3,"Content was fine, not too great."
01-10-2024 11:05,Cultural Fest,Academic,Electronics,1,Speakers were boring.
04-03-2025 11:05,Guest Lecture,Academic,Computer Science,4,"Great event, learned a lot!"
01-07-2025 11:05,Workshop,Cultural,Mechanical,2,Could be better organized.
01-05-2025 11:05,Guest Lecture,Workshop,Humanities,4,Speakers were very knowledgeable.
02-09-2025 11:05,Cultural Fest,Academic,Management,1,Could be better organized.
06-09-2025 11:05,Workshop,Sports,Computer Science,3,It was an average experience.
06-06-2025 11:05,Cultural Fest,Workshop,Mechanical,4,"Great event, learned a lot!"
22-10-2024 11:05,Tech Talk,Sports,Management,1,Could be better organized.
20-08-2025 11:05,Guest Lecture,Workshop,Electronics,1,I did not enjoy the event.
06-06-2025 11:05,Hackathon,Workshop,Electronics,5,Speakers were very knowledgeable.
10-01-2025 11:05,Hackathon,Academic,Humanities,2,Could be better organized.
19-01-2025 11:05,Guest Lecture,Sports,Computer Science,5,Loved the hands-on activities!
04-05-2025 11:05,Guest Lecture,Technical,Humanities,4,Loved the hands-on activities!
17-01-2025 11:05,Cultural Fest,Cultural,Electronics,3,Could have been a little better.
23-10-2024 11:05,Seminar,Sports,Humanities,5,Great networking opportunity.
24-11-2024 11:05,Cultural Fest,Cultural,Electronics,5,"Great event, learned a lot!"
29-10-2024 11:05,Hackathon,Technical,Mechanical,5,Very informative and engaging.
23-06-2025 11:05,Tech Talk,Workshop,Humanities,4,Very informative and engaging.
01-07-2025 11:05,Sports Meet,Cultural,Civil,3,Overall it was decent.
15-10-2024 11:05,Seminar,Cultural,Mechanical,1,Could be better organized.
05-03-2025 11:05,Sports Meet,Cultural,Computer Science,1,The event was too long.
11-08-2025 11:05,Tech Talk,Technical,Humanities,3,It was an average experience.
27-05-2025 11:05,Guest Lecture,Technical,Electronics,1,Could be better organized.
21-02-2025 11:05,Seminar,Cultural,Management,5,Great networking opportunity.
16-07-2025 11:05,Sports Meet,Technical,Computer Science,2,The event was too long.
12-07-2025 11:05,Tech Talk,Sports,Humanities,2,Poorly managed event.
12-10-2024 11:05,Guest Lecture,Technical,Humanities,5,"Great event, learned a lot!"
01-05-2025 11:05,Guest Lecture,Cultural,Civil,4,Loved the hands-on activities!
11-03-2025 11:05,Workshop,Technical,Civil,2,The event was too long.
17-07-2025 11:05,Guest Lecture,Technical,Humanities,1,Speakers were boring.
17-02-2025 11:05,Cultural Fest,Academic,Computer Science,1,Could be better organized.
24-04-2025 11:05,Guest Lecture,Academic,Humanities,3,Overall it was decent.
28-01-2025 11:05,Sports Meet,Technical,Electronics,1,Poorly managed event.
25-06-2025 11:05,Sports Meet,Academic,Electronics,1,Poorly managed event.
09-04-2025 11:05,Guest Lecture,Cultural,Computer Science,2,Speakers were boring.
28-02-2025 11:05,Hackathon,Workshop,Mechanical,2,I did not enjoy the event.
05-04-2025 11:05,Tech Talk,Academic,Electronics,4,Would love to attend again.
24-03-2025 11:05,Seminar,Technical,Civil,2,Speakers were boring.
21-01-2025 11:05,Cultural Fest,Sports,Management,4,Speakers were very knowledgeable.
10-02-2025 11:05,Guest Lecture,Technical,Computer Science,3,Could have been a little better.
30-04-2025 11:05,Hackathon,Technical,Civil,5,Great networking opportunity.
13-09-2024 11:05,Sports Meet,Academic,Computer Science,2,Poorly managed event.
13-07-2025 11:05,Tech Talk,Technical,Management,4,Very informative and engaging.
06-10-2024 11:05,Cultural Fest,Cultural,Civil,5,Would love to attend again.
16-06-2025 11:05,Workshop,Cultural,Management,5,Loved the hands-on activities!
18-11-2024 11:05,Cultural Fest,Academic,Civil,3,"Content was fine, not too great."
07-07-2025 11:05,Hackathon,Technical,Mechanical,4,"Great event, learned a lot!"
24-09-2024 11:05,Seminar,Technical,Computer Science,2,Speakers were boring.
25-03-2025 11:05,Sports Meet,Sports,Electronics,4,Would love to attend again.
07-12-2024 11:05,Workshop,Workshop,Computer Science,3,Could have been a little better.
30-10-2024 11:05,Hackathon,Workshop,Humanities,4,Speakers were very knowledgeable.
29-03-2025 11:05,Seminar,Sports,Humanities,4,Loved the hands-on activities!
22-09-2024 11:05,Tech Talk,Technical,Electronics,4,Would love to attend again.
13-05-2025 11:05,Sports Meet,Workshop,Civil,1,Speakers were boring.
06-11-2024 11:05,Tech Talk,Sports,Mechanical,5,"Great event, learned a lot!"
07-05-2025 11:05,Hackathon,Cultural,Management,4,Loved the hands-on activities!
21-06-2025 11:05,Workshop,Cultural,Computer Science,4,Would love to attend again.
